,month,edits,editors,blocked_people,%_bl_users,nb_policies
0,2005-01-01,800186,80201,947,1.0,28
1,2005-02-01,789780,75824,1207,2.0,28
2,2005-03-01,1024707,92355,715,1.0,28
3,2005-04-01,1294737,113549,625,1.0,29
4,2005-05-01,1365329,125997,590,0.0,29
5,2005-06-01,1509873,132319,1004,1.0,29
6,2005-07-01,1833491,163967,1582,1.0,29
7,2005-08-01,1982190,186434,1974,1.0,30
8,2005-09-01,1886804,194595,1700,1.0,30
9,2005-10-01,2245908,250711,4156,2.0,30
10,2005-11-01,2367749,267453,4850,2.0,31
11,2005-12-01,3224675,326078,3871,1.0,32
12,2006-01-01,3666973,358761,3107,1.0,33
13,2006-02-01,3552947,350971,2594,1.0,33
14,2006-03-01,4100556,408547,7295,2.0,33
15,2006-04-01,3978774,426257,9491,2.0,33
16,2006-05-01,4569396,484853,7385,2.0,33
17,2006-06-01,4550597,456812,5663,1.0,36
18,2006-07-01,4755618,470193,1979,0.0,37
19,2006-08-01,5362533,520959,780,0.0,37
20,2006-09-01,4918641,550004,3039,1.0,38
21,2006-10-01,5386028,622514,5854,1.0,38
22,2006-11-01,5520566,666608,13049,2.0,38
23,2006-12-01,5557149,649615,11278,2.0,38
24,2007-01-01,6189700,720150,18264,3.0,38
25,2007-02-01,6107526,725463,19673,3.0,38
26,2007-03-01,6721020,805913,21251,3.0,39
27,2007-04-01,6714669,793625,19554,2.0,39
28,2007-05-01,6578922,792197,25982,3.0,39
29,2007-06-01,5857262,672008,15744,2.0,39
30,2007-07-01,5834355,647703,13211,2.0,40
31,2007-08-01,5735126,648449,15488,2.0,40
32,2007-09-01,5756987,701533,20076,3.0,40
33,2007-10-01,6163776,763339,18439,2.0,40
34,2007-11-01,5779307,712306,17441,2.0,41
35,2007-12-01,5653263,656415,13835,2.0,41
36,2008-01-01,6237591,734516,17388,2.0,43
37,2008-02-01,6043675,729544,17659,2.0,43
38,2008-03-01,6688785,776408,18321,2.0,43
39,2008-04-01,6222866,758823,19982,3.0,44
40,2008-05-01,6243021,750175,18609,2.0,45
41,2008-06-01,5850374,658506,11931,2.0,45
42,2008-07-01,5788769,631296,13057,2.0,45
43,2008-08-01,5820122,634845,11907,2.0,45
44,2008-09-01,6099234,693322,16236,2.0,45
45,2008-10-01,6207538,749041,17911,2.0,45
46,2008-11-01,5667200,687427,13685,2.0,45
47,2008-12-01,5568291,643216,14297,2.0,45
48,2009-01-01,5993984,721171,17867,2.0,45
49,2009-02-01,5682029,703978,22390,3.0,45
50,2009-03-01,6325330,742242,21921,3.0,45
51,2009-04-01,5665878,673473,29279,4.0,45
52,2009-05-01,5947735,673606,26250,4.0,46
53,2009-06-01,5485048,614089,24621,4.0,46
54,2009-07-01,5267492,584559,12718,2.0,46
55,2009-08-01,5342963,584506,10524,2.0,47
56,2009-09-01,5419710,612279,11887,2.0,47
57,2009-10-01,5515825,660141,26412,4.0,48
58,2009-11-01,5284771,641883,20813,3.0,48
59,2009-12-01,5818014,603376,23206,4.0,48
60,2010-01-01,5501175,664118,14330,2.0,48
61,2010-02-01,5224376,640224,12565,2.0,49
62,2010-03-01,5684329,678313,15664,2.0,50
63,2010-04-01,5629846,647881,10920,2.0,51
64,2010-05-01,5523827,647272,11805,2.0,51
65,2010-06-01,5323283,572708,11976,2.0,53
66,2010-07-01,4985609,553659,7682,1.0,53
67,2010-08-01,5242443,560560,10662,2.0,53
68,2010-09-01,5417644,575250,16777,3.0,55
69,2010-10-01,5638538,607053,19633,3.0,55
70,2010-11-01,5337936,587437,16724,3.0,55
71,2010-12-01,5010239,558987,11513,2.0,55
72,2011-01-01,5567195,627476,23371,4.0,55
73,2011-02-01,4800487,554686,19346,3.0,55
74,2011-03-01,4852498,561432,24123,4.0,56
75,2011-04-01,4675622,530225,14783,3.0,56
76,2011-05-01,4696440,535183,13298,2.0,56
77,2011-06-01,4816037,509103,16629,3.0,57
78,2011-07-01,4863623,499270,18065,4.0,58
79,2011-08-01,4841851,513910,41532,8.0,58
80,2011-09-01,4815682,507464,44515,9.0,58
81,2011-10-01,4661451,537783,35886,7.0,58
82,2011-11-01,4588185,528067,33537,6.0,58
83,2011-12-01,4830176,500854,17540,4.0,58
84,2012-01-01,5018829,530393,17617,3.0,58
85,2012-02-01,4771789,514946,17370,3.0,58
86,2012-03-01,4889746,520262,19561,4.0,58
87,2012-04-01,4728415,504911,11017,2.0,58
88,2012-05-01,4959645,508831,16453,3.0,58
89,2012-06-01,4393530,459166,14396,3.0,58
90,2012-07-01,4652613,459553,12235,3.0,58
91,2012-08-01,4651845,460011,38197,8.0,58
92,2012-09-01,4843386,452811,58106,13.0,58
93,2012-10-01,4980499,501879,38722,8.0,58
94,2012-11-01,4607502,489596,31369,6.0,58
95,2012-12-01,4544587,467075,11384,2.0,58
96,2013-01-01,4877507,503848,20408,4.0,58
97,2013-02-01,5062668,466284,16855,4.0,58
98,2013-03-01,6261482,483349,8346,2.0,58
99,2013-04-01,4541474,469668,12707,3.0,58
100,2013-05-01,4393869,499472,28748,6.0,58
101,2013-06-01,4208463,447664,48602,11.0,58
102,2013-07-01,3995223,425831,59562,14.0,58
103,2013-08-01,4037757,402849,54565,14.0,58
104,2013-09-01,3876414,404460,4892,1.0,58
105,2013-10-01,4108678,460348,95548,21.0,58
106,2013-11-01,3957036,443498,148467,33.0,58
107,2013-12-01,4270787,426944,70665,17.0,58
108,2014-01-01,4412681,458111,31233,7.0,58
109,2014-02-01,3908360,419990,20348,5.0,58
110,2014-03-01,4240054,448080,17204,4.0,58
111,2014-04-01,4042617,421737,17761,4.0,58
112,2014-05-01,4103579,418834,19603,5.0,58
113,2014-06-01,3780680,374554,13724,4.0,58
114,2014-07-01,3962248,368737,6925,2.0,58
115,2014-08-01,3966192,381637,9039,2.0,58
116,2014-09-01,3810187,379932,10024,3.0,58
117,2014-10-01,3890368,406571,21503,5.0,58
118,2014-11-01,3834638,392471,19509,5.0,58
119,2014-12-01,4042966,373579,36881,10.0,58
120,2015-01-01,4307132,400370,65142,16.0,58
121,2015-02-01,3939039,380094,81162,21.0,58
122,2015-03-01,4804505,408450,77713,19.0,58
123,2015-04-01,5420740,419903,41313,10.0,58
124,2015-05-01,4486420,429880,37332,9.0,58
125,2015-06-01,4182075,407556,37277,9.0,58
126,2015-07-01,4287737,412035,32444,8.0,58
127,2015-08-01,4531190,414411,24899,6.0,58
128,2015-09-01,4398118,427677,27892,7.0,58
129,2015-10-01,4573756,446228,26787,6.0,58
130,2015-11-01,4456188,429746,26627,6.0,58
131,2015-12-01,4199796,410989,27828,7.0,58
132,2016-01-01,4714340,458304,46872,10.0,58
133,2016-02-01,4681979,442711,29525,7.0,58
134,2016-03-01,4983730,444783,49623,11.0,58
135,2016-04-01,4757144,430340,27445,6.0,58
136,2016-05-01,4768475,435399,30912,7.0,58
137,2016-06-01,4369052,396159,32632,8.0,58
138,2016-07-01,4410842,391270,35534,9.0,58
139,2016-08-01,4426188,414133,26569,6.0,58
140,2016-09-01,4581636,416848,32107,8.0,58
141,2016-10-01,4902094,435739,47170,11.0,58
142,2016-11-01,4916504,433038,46784,11.0,58
143,2016-12-01,4972012,422147,48583,12.0,58
144,2017-01-01,5019316,456975,65283,14.0,58
145,2017-02-01,4632063,423877,96877,23.0,58
146,2017-03-01,4948622,461515,52828,11.0,58
147,2017-04-01,4589369,424964,41899,10.0,58
148,2017-05-01,4882666,431329,39897,9.0,58
149,2017-06-01,4867458,391041,93824,24.0,58
150,2017-07-01,4659289,397800,56680,14.0,58
151,2017-08-01,4686591,399409,57155,14.0,58
152,2017-09-01,4666223,398494,53433,13.0,58
153,2017-10-01,4696462,436203,62062,14.0,58
154,2017-11-01,4622820,434451,55841,13.0,59
155,2017-12-01,4797589,409054,48495,12.0,59
